Zone,Districts,Altitude (m),Annual rainfall (mm),Crops grown,Recommended Crops,Vegitables,Floriculture
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Tiruvallur,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Cuddalore,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Villupuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Villupuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Villupuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Villupuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Villupuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Villupuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Villupuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Villupuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
